screen_name,tweet_id,date,tweet_text,tweet_ja,fav,ret,tweeted
JoeBiden,1588682613014896642,2022-11-05 00:00:25,I’m not going to apologize for helping working- and middle-class families. https://t.co/vo6J2yxnmF,労働者や中流家庭を支援することに謝罪するつもりはない。https://t.co/vo6J2yxnmF。,2727,603,1
opmemes69,1587796836428947462,2022-11-02 13:20:40,https://t.co/kvWNlpUDSG,https://t.co/kvWNlpUDSG,0,0,1
opmemes69,1587796540990578688,2022-11-02 13:19:29,https://t.co/OJss4RqoHw,https://t.co/OJss4RqoHw,1,0,1
opmemes69,1587796266490232833,2022-11-02 13:18:24,https://t.co/bZEUXM99Fq,https://t.co/bZEUXM99Fq,0,0,1
BajramBegajAL,1588228620622991360,2022-11-03 17:56:25,Appreciation for the determination of the European Commission to give a new pace to the EU accession of the Western… https://t.co/Lq2SXJT6Cc,西側諸国のEU加盟に新たなペースを与えるという欧州委員会の決意に感謝する... https://t.co/Lq2SXJT6Cc,22,8,1
BajramBegajAL,1588200787234144262,2022-11-03 16:05:49,Religious harmony is one of the values we are most proud of as a nation. Meeting today with Sant’Egidio Community l… https://t.co/uqd1OwYsgX,宗教の調和は、私たちが国家として最も誇りにしている価値の一つです。今日、Sant'Egidio Community l.とお会いして... https://t.co/uqd1OwYsgX,26,4,1
ediramaal,1588543015265927168,2022-11-04 14:45:43,"Good read from a distinguished member of the great Albanian community in Britain🇦🇱🇬🇧 
https://t.co/P2hco2nLw1","イギリスの偉大なアルバニア人コミュニティの著名なメンバーからの良い読み物です🇶🇬🇧🇷。
https://t.co/P2hco2nLw1",242,43,1
ediramaal,1588535676110524417,2022-11-04 14:16:33,"Një nga shembujt e përditshëm të deformimit të pasqyrave mediatike, të cilat synojnë helmimin jo informimin e publi… https://t.co/Ce0crXSUtG",メディアを取り巻く環境の変化に対応するため、情報発信の重要性を認識し、情報発信を行う。https://t.co/Ce0crXSUtG,98,17,1
ediramaal,1588078503660081157,2022-11-03 07:59:55,Proud of you @armandobroja9 and proud of every Albanian working hard and contributing to the UK! Shame on whoever s… https://t.co/WD5UJwJFch,そして、懸命に働き、英国に貢献しているすべてのアルバニア人を誇りに思います。恥を知れ... https://t.co/WD5UJwJFch,1405,229,1
ediramaal,1587876037379194882,2022-11-02 18:35:23,Jam shumë dakord! Fakti është që në Shqipëri nuk ka asnjë media pro-qeveritare dhe shumica dërmuese e tyre janë mas… https://t.co/GHItDskM9E,Jam shumë dakord!https://t.co/GHItDskM9E Shqipëri në nuk ka asnjé pro-qeveritare and shumica dërmuese e tyre janë...,188,35,1
